domain_slug,question_display_order,score,messenger_label
persona,1,0,نه، معمولاً هر کسی بخرد برای ما مشتری محسوب می‌شود.
persona,1,1,حس کلی هست ولی ویژگی‌ها تعریف نشده
persona,1,2,تقریباً می‌دانیم مشتری‌های خوب ما چه ویژگی‌هایی دارند.
persona,1,3,مشتری خوب و مشتری نامناسب هر دو دقیق تعریف شده‌اند
persona,2,0,نه، تا حالا مشتری‌های خوبمان را این‌طوری بررسی نکرده‌ایم.
persona,2,1,چند حدس کلی داریم، اما بر اساس بررسی واقعی مشتری‌ها نیست.
persona,2,2,چند ویژگی مشترک شناسایی شده
persona,2,3,ویژگی‌های مشترک مشخص و در تبلیغ/فروش/پیشنهاد به‌کار گرفته می‌شود
persona,3,0,نگرانی فقط وقتی اعتراض می‌شود دیده می‌شود
persona,3,1,چند نگرانی رایج را حدس می‌زنیم، اما ثبت یا دسته‌بندی نکرده‌ایم.
persona,3,2,نگرانی‌های اصلی شناخته‌شده و قابل پاسخ
persona,3,3,نگرانی‌ها ثبت و برای هرکدام پاسخ/نمونه/ضمانت آماده است
persona,4,0,پیام‌ها عمومی برای همه
persona,4,1,گاهی گروه خاص، ولی بیشتر عمومی
persona,4,2,بیشتر پیام‌ها را برای یک نوع مشتری مشخص می‌نویسیم.
persona,4,3,برای هر گروه مهم پیام، لحن و پیشنهاد جداگانه
persona,5,0,کیفیت کانال‌ها مقایسه نمی‌شود
persona,5,1,حدس بدون داده
persona,5,2,شناخت نسبی بدون تحلیل منظم
persona,5,3,هر کانال از نظر کیفیت، خرید و احتمال برگشت/معرفی تحلیل می‌شود
uvp,1,0,نه، پیام ما کلی است و مشتری باید خودش حدس بزند.
uvp,1,1,تا حدی مشخص است، اما هنوز نیاز به توضیح زیاد دارد.
uvp,1,2,در بیشتر نقاط تماس قابل فهم
uvp,1,3,پیام اصلی ما ساده، روشن و در همه نقاط تماس قابل فهم است.
uvp,2,0,نه، بیشتر روی کیفیت، قیمت یا تجربه کلی تأکید می‌کنیم.
uvp,2,1,چند دلیل داریم، اما خیلی شبیه حرف رقباست.
uvp,2,2,یک یا دو دلیل نسبتاً مشخص برای انتخاب ما وجود دارد.
uvp,2,3,دلیل روشن، متمایز و متناسب با مشتری مناسب
uvp,3,0,جواب ما معمولاً همین جملات کلی است.
uvp,3,1,جواب کمی مشخص‌تر داریم، اما هنوز خیلی عمومی است.
uvp,3,2,جواب نسبتاً مشخصی داریم که به نیاز مشتری وصل است.
uvp,3,3,جواب ما دقیقاً نتیجه، تفاوت و دلیل انتخاب را روشن می‌کند.
uvp,4,0,نه، بیشتر درباره محصول یا خدمت توضیح می‌دهیم نه نتیجه.
uvp,4,1,تا حدی نتیجه را می‌گوییم، اما واضح و ملموس نیست.
uvp,4,2,در بیشتر موارد نتیجه خرید را برای مشتری توضیح می‌دهیم.
uvp,4,3,نتیجه و اهمیتش برای مشتری کاملاً روشن است
uvp,5,0,نه، هرکس جواب خودش را می‌دهد.
uvp,5,1,جواب‌ها شبیه‌اند، اما هنوز هماهنگ و مستند نیستند.
uvp,5,2,بیشتر اعضای تیم پیام اصلی را تقریباً درست منتقل می‌کنند.
uvp,5,3,پیام مستند و یکدست در کل تیم
offer-design,1,0,نه، معمولاً مشتری درباره جزئیات زیاد سؤال می‌پرسد.
offer-design,1,1,کلیات را می‌فهمد، اما بخش‌هایی از خروجی یا شرایط مبهم است.
offer-design,1,2,بیشتر موارد پیشنهاد روشن است، ولی هنوز جای ساده‌سازی دارد.
offer-design,1,3,پیشنهاد کاملاً روشن است و مشتری دقیقاً می‌داند چه می‌گیرد.
offer-design,2,0,معمولاً قیمت برای مشتری زیاد به نظر می‌رسد و سریع اعتراض می‌کند.
offer-design,2,1,گاهی ارزش را توضیح می‌دهیم، اما بیشتر دفاع از قیمت می‌کنیم.
offer-design,2,2,معمولاً قیمت را کنار نتیجه و ارزش توضیح می‌دهیم.
offer-design,2,3,قیمت با ارزش، مقایسه و کاهش ریسک پشتیبانی می‌شود
