سؤال,شماره دامنه,شماره سؤال,عنوان دامنه,گزینه ۰,گزینه ۱,گزینه ۲,گزینه ۳
وقتی به مشتری‌های قبلی‌تان نگاه می‌کنید، می‌توانید بگویید کدام نوع مشتری برای شما بهتر و سودآورتر است؟,1,1,Persona / شناخت مشتری مناسب,نه، معمولاً هر کسی بخرد برای ما مشتری محسوب می‌شود.,تا حدی می‌دانیم بعضی مشتری‌ها بهترند، اما دقیق تعریف نکرده‌ایم چه ویژگی‌هایی دارند.,تقریباً می‌دانیم مشتری‌های خوب ما چه ویژگی‌هایی دارند.,دقیق مشخص کرده‌ایم مشتری خوب ما چه کسی است و چه مشتری‌هایی را بهتر است جذب نکنیم یا به آن‌ها نفروشیم.
اگر ۱۰ مشتری خوب آخر خود را بررسی کنید، آیا می‌توانید بگویید چه شباهتی بین آن‌ها وجود دارد؟,1,2,Persona / شناخت مشتری مناسب,نه، تا حالا مشتری‌های خوبمان را این‌طوری بررسی نکرده‌ایم.,چند حدس کلی داریم، اما بر اساس بررسی واقعی مشتری‌ها نیست.,تا حدی بررسی کرده‌ایم و چند ویژگی مشترک بین مشتری‌های خوبمان می‌شناسیم.,مشخص می‌دانیم بهترین مشتری‌های ما چه ویژگی‌هایی دارند و از این اطلاعات در تبلیغ، فروش و پیشنهادها استفاده می‌کنیم.
قبل از اینکه مشتری از شما خرید کند، معمولاً می‌دانید اصلی‌ترین نگرانی یا تردیدش چیست؟,1,3,Persona / شناخت مشتری مناسب,نه، معمولاً فقط وقتی مشتری اعتراض می‌کند متوجه نگرانی‌اش می‌شویم.,چند نگرانی رایج را حدس می‌زنیم، اما ثبت یا دسته‌بندی نکرده‌ایم.,نگرانی‌های اصلی مشتری را می‌شناسیم و معمولاً می‌دانیم چطور جواب بدهیم.,نگرانی‌های مشتری را ثبت کرده‌ایم و برای هرکدام محتوا، پاسخ، نمونه، ضمانت یا توضیح آماده داریم.
آیا می‌دانید کدام مسیر برای شما مشتری باکیفیت‌تر می‌آورد؟,1,5,Persona / شناخت مشتری مناسب,نه، فقط می‌دانیم از بعضی جاها مشتری می‌آید، اما کیفیتشان را مقایسه نمی‌کنیم.,حدس می‌زنیم بعضی کانال‌ها مشتری بهتری می‌آورند، اما عدد یا بررسی مشخص نداریم.,تا حدی می‌دانیم کدام کانال مشتری بهتر می‌آورد، اما هنوز منظم تحلیل نمی‌کنیم.,دقیق بررسی می‌کنیم هر کانال چه نوع مشتری می‌آورد، چقدر خرید می‌کند و چقدر احتمال برگشت یا معرفی دارد.
وقتی تبلیغ، پست، استوری، پیامک یا متن فروش می‌نویسید، دقیقاً می‌دانید دارید با چه نوع مشتری‌ای حرف می‌زنید؟,1,4,Persona / شناخت مشتری مناسب,نه، معمولاً پیام‌ها را عمومی می‌نویسیم که برای همه قابل استفاده باشد.,گاهی به یک گروه خاص فکر می‌کنیم، اما بیشتر پیام‌ها هنوز عمومی‌اند.,بیشتر پیام‌ها را برای یک نوع مشتری مشخص می‌نویسیم.,برای هر گروه مشتری مهم، پیام، مثال، لحن و پیشنهاد جداگانه طراحی می‌کنیم.
وقتی مشتری جدید با پیج، سایت، مغازه، تبلیغ یا فروشنده شما روبه‌رو می‌شود، سریع می‌فهمد شما دقیقاً چه کمکی به او می‌کنید؟,2,1,UVP / ارزش پیشنهادی,نه، پیام ما کلی است و مشتری باید خودش حدس بزند.,تا حدی مشخص است، اما هنوز نیاز به توضیح زیاد دارد.,در بیشتر نقاط تماس، مشتری متوجه می‌شود ما چه مشکلی را حل می‌کنیم.,پیام اصلی ما ساده، روشن و در همه نقاط تماس قابل فهم است.
اگر مشتری شما را با چند رقیب مقایسه کند، دلیل مشخصی دارید که چرا باید شما را انتخاب کند؟,2,2,UVP / ارزش پیشنهادی,نه، بیشتر روی کیفیت، قیمت یا تجربه کلی تأکید می‌کنیم.,چند دلیل داریم، اما خیلی شبیه حرف رقباست.,یک یا دو دلیل نسبتاً مشخص برای انتخاب ما وجود دارد.,دلیل انتخاب ما روشن، قابل دفاع، متناسب با مشتری مناسب و متفاوت از رقباست.
اگر از شما بپرسند چرا باید از شما بخرم، جواب شما چقدر مشخص‌تر از «کیفیت خوب»، «قیمت مناسب» یا «خدمات عالی» است؟,2,3,UVP / ارزش پیشنهادی,جواب ما معمولاً همین جملات کلی است.,جواب کمی مشخص‌تر داریم، اما هنوز خیلی عمومی است.,جواب نسبتاً مشخصی داریم که به نیاز مشتری وصل است.,جواب ما دقیقاً نتیجه، تفاوت و دلیل انتخاب را روشن می‌کند.
قبل از خرید، مشتری می‌فهمد بعد از خرید از شما دقیقاً چه چیزی در وضعیتش بهتر می‌شود؟,2,4,UVP / ارزش پیشنهادی,نه، بیشتر درباره محصول یا خدمت توضیح می‌دهیم نه نتیجه.,تا حدی نتیجه را می‌گوییم، اما واضح و ملموس نیست.,در بیشتر موارد نتیجه خرید را برای مشتری توضیح می‌دهیم.,مشتری دقیقاً می‌فهمد چه نتیجه‌ای می‌گیرد و چرا این نتیجه برایش مهم است.
اگر مشتری همین سؤال را از شما، فروشنده، ادمین یا یکی از اعضای تیم بپرسد که «چرا باید از شما بخرم؟»، همه تقریباً یک جواب روشن و مشابه می‌دهند؟,2,5,UVP / ارزش پیشنهادی,نه، هرکس جواب خودش را می‌دهد.,جواب‌ها شبیه‌اند، اما هنوز هماهنگ و مستند نیستند.,بیشتر اعضای تیم پیام اصلی را تقریباً درست منتقل می‌کنند.,پیام ارزش پیشنهادی مستند است و همه تیم آن را یکدست منتقل می‌کنند.
