سؤال,شماره دامنه,عنوان دامنه,شماره سؤال,گزینه ۰,گزینه ۱,گزینه ۲,گزینه ۳,اقدام اصلاحی بخش,تشخیص پشت‌صحنه سؤال,تفسیر امتیاز (بخش),تفسیر امتیاز (سؤال),عارضه‌های تشخیصی بخش
وقتی به مشتری‌های قبلی‌تان نگاه می‌کنید، می‌توانید بگویید کدام نوع مشتری برای شما بهتر و سودآورتر است؟,1,Persona / شناخت مشتری مناسب,1,نه، معمولاً هر کسی بخرد برای ما مشتری محسوب می‌شود.,تا حدی می‌دانیم بعضی مشتری‌ها بهترند، اما دقیق تعریف نکرده‌ایم چه ویژگی‌هایی دارند.,تقریباً می‌دانیم مشتری‌های خوب ما چه ویژگی‌هایی دارند.,دقیق مشخص کرده‌ایم مشتری خوب ما چه کسی است و چه مشتری‌هایی را بهتر است جذب نکنیم یا به آن‌ها نفروشیم.,ساخت پرسونا برای هر گروه مشتری مهم (هدف، درد، ترس، مانع تصمیم، کانال، جمله‌های ذهنی، معیار انتخاب) و تحلیل ۱۰ مشتری خوب اخیر برای استخراج ویژگی‌های مشترک؛ سپس استفاده از این شناخت در پیام، کانال و پیشنهاد و تعریف صریح مشتری نامناسب.,می‌سنجد آیا کسب‌وکار مشتری مناسب را از نامناسب جدا کرده یا فقط دنبال «تعداد مشتری» است.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: مشتری هدف عملاً تعریف نشده. ۴–۶ ضعیف: شناخت پراکنده و ذهنی. ۷–۹ متوسط: پایهٔ شناخت هست ولی سیستماتیک نیست. ۱۰–۱۲ سالم: مشتری مناسب مشخص و قابل استفاده است. ۱۳–۱۵ پیشرفته: پرسونا مستند، داده‌محور و در کل قیف جاری است.,۰ بحرانی: هر خریداری مشتری محسوب می‌شود و معیار کیفیت وجود ندارد. ۱ ضعیف: حس کلی هست ولی ویژگی‌ها تعریف نشده. ۲ متوسط: ویژگی‌های مشتری خوب تا حد زیادی مشخص است. ۳ پیشرفته: مشتری خوب و مشتری نامناسب هر دو دقیق تعریف شده‌اند.,عارضهٔ استراتژیک و کیفیت مخاطب. ضعف در این دامنه یعنی کسب‌وکار برای «همه» بازاریابی می‌کند، مشتری مناسب را از نامناسب جدا نمی‌کند و از دادهٔ مشتریان قبلی استفاده نمی‌کند. نتیجه: پیام عمومی و کم‌اثر، جذب لید بی‌کیفیت، چانه‌زنی و اعتراض قیمت بیشتر، CAC بالا، نرخ تبدیل پایین و نارضایتی بعد از خرید.
اگر ۱۰ مشتری خوب آخر خود را بررسی کنید، آیا می‌توانید بگویید چه شباهتی بین آن‌ها وجود دارد؟,1,Persona / شناخت مشتری مناسب,2,نه، تا حالا مشتری‌های خوبمان را این‌طوری بررسی نکرده‌ایم.,چند حدس کلی داریم، اما بر اساس بررسی واقعی مشتری‌ها نیست.,تا حدی بررسی کرده‌ایم و چند ویژگی مشترک بین مشتری‌های خوبمان می‌شناسیم.,مشخص می‌دانیم بهترین مشتری‌های ما چه ویژگی‌هایی دارند و از این اطلاعات در تبلیغ، فروش و پیشنهادها استفاده می‌کنیم.,ساخت پرسونا برای هر گروه مشتری مهم (هدف، درد، ترس، مانع تصمیم، کانال، جمله‌های ذهنی، معیار انتخاب) و تحلیل ۱۰ مشتری خوب اخیر برای استخراج ویژگی‌های مشترک؛ سپس استفاده از این شناخت در پیام، کانال و پیشنهاد و تعریف صریح مشتری نامناسب.,می‌سنجد آیا کسب‌وکار از دادهٔ مشتریان واقعی خود برای شناخت بازار استفاده می‌کند یا نه.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: مشتری هدف عملاً تعریف نشده. ۴–۶ ضعیف: شناخت پراکنده و ذهنی. ۷–۹ متوسط: پایهٔ شناخت هست ولی سیستماتیک نیست. ۱۰–۱۲ سالم: مشتری مناسب مشخص و قابل استفاده است. ۱۳–۱۵ پیشرفته: پرسونا مستند، داده‌محور و در کل قیف جاری است.,۰ بحرانی: مشتریان خوب هرگز این‌طور بررسی نشده‌اند. ۱ ضعیف: چند حدس بدون بررسی واقعی. ۲ متوسط: چند ویژگی مشترک شناسایی شده. ۳ پیشرفته: ویژگی‌های مشترک مشخص و در تبلیغ/فروش/پیشنهاد به‌کار گرفته می‌شود.,عارضهٔ استراتژیک و کیفیت مخاطب. ضعف در این دامنه یعنی کسب‌وکار برای «همه» بازاریابی می‌کند، مشتری مناسب را از نامناسب جدا نمی‌کند و از دادهٔ مشتریان قبلی استفاده نمی‌کند. نتیجه: پیام عمومی و کم‌اثر، جذب لید بی‌کیفیت، چانه‌زنی و اعتراض قیمت بیشتر، CAC بالا، نرخ تبدیل پایین و نارضایتی بعد از خرید.
قبل از اینکه مشتری از شما خرید کند، معمولاً می‌دانید اصلی‌ترین نگرانی یا تردیدش چیست؟,1,Persona / شناخت مشتری مناسب,3,نه، معمولاً فقط وقتی مشتری اعتراض می‌کند متوجه نگرانی‌اش می‌شویم.,چند نگرانی رایج را حدس می‌زنیم، اما ثبت یا دسته‌بندی نکرده‌ایم.,نگرانی‌های اصلی مشتری را می‌شناسیم و معمولاً می‌دانیم چطور جواب بدهیم.,نگرانی‌های مشتری را ثبت کرده‌ایم و برای هرکدام محتوا، پاسخ، نمونه، ضمانت یا توضیح آماده داریم.,ساخت پرسونا برای هر گروه مشتری مهم (هدف، درد، ترس، مانع تصمیم، کانال، جمله‌های ذهنی، معیار انتخاب) و تحلیل ۱۰ مشتری خوب اخیر برای استخراج ویژگی‌های مشترک؛ سپس استفاده از این شناخت در پیام، کانال و پیشنهاد و تعریف صریح مشتری نامناسب.,شناخت درد، مانع خرید و اعتراض‌های ذهنی مشتری را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: مشتری هدف عملاً تعریف نشده. ۴–۶ ضعیف: شناخت پراکنده و ذهنی. ۷–۹ متوسط: پایهٔ شناخت هست ولی سیستماتیک نیست. ۱۰–۱۲ سالم: مشتری مناسب مشخص و قابل استفاده است. ۱۳–۱۵ پیشرفته: پرسونا مستند، داده‌محور و در کل قیف جاری است.,۰ بحرانی: نگرانی فقط وقتی اعتراض می‌شود دیده می‌شود. ۱ ضعیف: چند نگرانی حدس‌زده ولی ثبت‌نشده. ۲ متوسط: نگرانی‌های اصلی شناخته‌شده و قابل پاسخ. ۳ پیشرفته: نگرانی‌ها ثبت و برای هرکدام پاسخ/نمونه/ضمانت آماده است.,عارضهٔ استراتژیک و کیفیت مخاطب. ضعف در این دامنه یعنی کسب‌وکار برای «همه» بازاریابی می‌کند، مشتری مناسب را از نامناسب جدا نمی‌کند و از دادهٔ مشتریان قبلی استفاده نمی‌کند. نتیجه: پیام عمومی و کم‌اثر، جذب لید بی‌کیفیت، چانه‌زنی و اعتراض قیمت بیشتر، CAC بالا، نرخ تبدیل پایین و نارضایتی بعد از خرید.
وقتی تبلیغ، پست، استوری، پیامک یا متن فروش می‌نویسید، دقیقاً می‌دانید دارید با چه نوع مشتری‌ای حرف می‌زنید؟,1,Persona / شناخت مشتری مناسب,4,نه، معمولاً پیام‌ها را عمومی می‌نویسیم که برای همه قابل استفاده باشد.,گاهی به یک گروه خاص فکر می‌کنیم، اما بیشتر پیام‌ها هنوز عمومی‌اند.,بیشتر پیام‌ها را برای یک نوع مشتری مشخص می‌نویسیم.,برای هر گروه مشتری مهم، پیام، مثال، لحن و پیشنهاد جداگانه طراحی می‌کنیم.,ساخت پرسونا برای هر گروه مشتری مهم (هدف، درد، ترس، مانع تصمیم، کانال، جمله‌های ذهنی، معیار انتخاب) و تحلیل ۱۰ مشتری خوب اخیر برای استخراج ویژگی‌های مشترک؛ سپس استفاده از این شناخت در پیام، کانال و پیشنهاد و تعریف صریح مشتری نامناسب.,می‌سنجد آیا شناخت مشتری واقعاً در پیام‌سازی به‌کار می‌رود یا فقط در ذهن مانده است.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: مشتری هدف عملاً تعریف نشده. ۴–۶ ضعیف: شناخت پراکنده و ذهنی. ۷–۹ متوسط: پایهٔ شناخت هست ولی سیستماتیک نیست. ۱۰–۱۲ سالم: مشتری مناسب مشخص و قابل استفاده است. ۱۳–۱۵ پیشرفته: پرسونا مستند، داده‌محور و در کل قیف جاری است.,۰ بحرانی: پیام‌ها عمومی برای همه. ۱ ضعیف: گاهی گروه خاص، ولی بیشتر عمومی. ۲ متوسط: بیشتر پیام‌ها برای یک نوع مشتری. ۳ پیشرفته: برای هر گروه مهم پیام، لحن و پیشنهاد جداگانه.,عارضهٔ استراتژیک و کیفیت مخاطب. ضعف در این دامنه یعنی کسب‌وکار برای «همه» بازاریابی می‌کند، مشتری مناسب را از نامناسب جدا نمی‌کند و از دادهٔ مشتریان قبلی استفاده نمی‌کند. نتیجه: پیام عمومی و کم‌اثر، جذب لید بی‌کیفیت، چانه‌زنی و اعتراض قیمت بیشتر، CAC بالا، نرخ تبدیل پایین و نارضایتی بعد از خرید.
آیا می‌دانید کدام مسیر برای شما مشتری باکیفیت‌تر می‌آورد؟,1,Persona / شناخت مشتری مناسب,5,نه، فقط می‌دانیم از بعضی جاها مشتری می‌آید، اما کیفیتشان را مقایسه نمی‌کنیم.,حدس می‌زنیم بعضی کانال‌ها مشتری بهتری می‌آورند، اما عدد یا بررسی مشخص نداریم.,تا حدی می‌دانیم کدام کانال مشتری بهتر می‌آورد، اما هنوز منظم تحلیل نمی‌کنیم.,دقیق بررسی می‌کنیم هر کانال چه نوع مشتری می‌آورد، چقدر خرید می‌کند و چقدر احتمال برگشت یا معرفی دارد.,ساخت پرسونا برای هر گروه مشتری مهم (هدف، درد، ترس، مانع تصمیم، کانال، جمله‌های ذهنی، معیار انتخاب) و تحلیل ۱۰ مشتری خوب اخیر برای استخراج ویژگی‌های مشترک؛ سپس استفاده از این شناخت در پیام، کانال و پیشنهاد و تعریف صریح مشتری نامناسب.,کیفیت کانال جذب را می‌سنجد، نه فقط تعداد ورودی.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: مشتری هدف عملاً تعریف نشده. ۴–۶ ضعیف: شناخت پراکنده و ذهنی. ۷–۹ متوسط: پایهٔ شناخت هست ولی سیستماتیک نیست. ۱۰–۱۲ سالم: مشتری مناسب مشخص و قابل استفاده است. ۱۳–۱۵ پیشرفته: پرسونا مستند، داده‌محور و در کل قیف جاری است.,۰ بحرانی: کیفیت کانال‌ها مقایسه نمی‌شود. ۱ ضعیف: حدس بدون داده. ۲ متوسط: شناخت نسبی بدون تحلیل منظم. ۳ پیشرفته: هر کانال از نظر کیفیت، خرید و احتمال برگشت/معرفی تحلیل می‌شود.,عارضهٔ استراتژیک و کیفیت مخاطب. ضعف در این دامنه یعنی کسب‌وکار برای «همه» بازاریابی می‌کند، مشتری مناسب را از نامناسب جدا نمی‌کند و از دادهٔ مشتریان قبلی استفاده نمی‌کند. نتیجه: پیام عمومی و کم‌اثر، جذب لید بی‌کیفیت، چانه‌زنی و اعتراض قیمت بیشتر، CAC بالا، نرخ تبدیل پایین و نارضایتی بعد از خرید.
وقتی مشتری جدید با پیج، سایت، مغازه، تبلیغ یا فروشنده شما روبه‌رو می‌شود، سریع می‌فهمد شما دقیقاً چه کمکی به او می‌کنید؟,2,UVP / ارزش پیشنهادی,1,نه، پیام ما کلی است و مشتری باید خودش حدس بزند.,تا حدی مشخص است، اما هنوز نیاز به توضیح زیاد دارد.,در بیشتر نقاط تماس، مشتری متوجه می‌شود ما چه مشکلی را حل می‌کنیم.,پیام اصلی ما ساده، روشن و در همه نقاط تماس قابل فهم است.,ساخت UVP با قالب «ما به [مخاطب] کمک می‌کنیم [نتیجهٔ ملموس] را از طریق [مزیت خاص] به دست بیاورد»؛ اتصال آن به نیاز واقعی پرسونا، مستندسازی و انتشار یکدست در لندینگ، بیو، تبلیغ و مکالمهٔ فروش تا کل تیم یک پیام بدهند.,وضوح و فوری‌بودن درک ارزش پیشنهادی در نقاط تماس را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: دلیل انتخاب برند وجود ندارد. ۴–۶ ضعیف: پیام کلی و شبیه رقبا. ۷–۹ متوسط: یکی دو دلیل مشخص ولی ناهماهنگ. ۱۰–۱۲ سالم: UVP روشن و قابل بیان. ۱۳–۱۵ پیشرفته: UVP مستند، متمایز و یکدست در کل قیف و تیم.,۰ بحرانی: پیام کلی و مبهم. ۱ ضعیف: نیاز به توضیح زیاد. ۲ متوسط: در بیشتر نقاط تماس قابل فهم. ۳ پیشرفته: پیام ساده و روشن در همهٔ نقاط تماس.,عارضهٔ تمایز و قیمت‌محوری. ضعف یعنی مخاطب تفاوت برند را نمی‌فهمد و تصمیم خرید به قیمت، تخفیف، رابطه یا فشار فروشنده وابسته می‌شود. نتیجه: اعتراض قیمت بالا، توضیح زیاد فروشنده، تمایز ضعیف، رفتن آسان مشتری به رقیب و کمپین‌های بدون قلاب.
اگر مشتری شما را با چند رقیب مقایسه کند، دلیل مشخصی دارید که چرا باید شما را انتخاب کند؟,2,UVP / ارزش پیشنهادی,2,نه، بیشتر روی کیفیت، قیمت یا تجربه کلی تأکید می‌کنیم.,چند دلیل داریم، اما خیلی شبیه حرف رقباست.,یک یا دو دلیل نسبتاً مشخص برای انتخاب ما وجود دارد.,دلیل انتخاب ما روشن، قابل دفاع، متناسب با مشتری مناسب و متفاوت از رقباست.,ساخت UVP با قالب «ما به [مخاطب] کمک می‌کنیم [نتیجهٔ ملموس] را از طریق [مزیت خاص] به دست بیاورد»؛ اتصال آن به نیاز واقعی پرسونا، مستندسازی و انتشار یکدست در لندینگ، بیو، تبلیغ و مکالمهٔ فروش تا کل تیم یک پیام بدهند.,وجود تمایز قابل دفاع نسبت به رقبا را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: دلیل انتخاب برند وجود ندارد. ۴–۶ ضعیف: پیام کلی و شبیه رقبا. ۷–۹ متوسط: یکی دو دلیل مشخص ولی ناهماهنگ. ۱۰–۱۲ سالم: UVP روشن و قابل بیان. ۱۳–۱۵ پیشرفته: UVP مستند، متمایز و یکدست در کل قیف و تیم.,۰ بحرانی: تکیه بر کیفیت/قیمت/تجربهٔ کلی. ۱ ضعیف: دلایل شبیه رقبا. ۲ متوسط: یکی دو دلیل نسبتاً مشخص. ۳ پیشرفته: دلیل روشن، متمایز و متناسب با مشتری مناسب.,عارضهٔ تمایز و قیمت‌محوری. ضعف یعنی مخاطب تفاوت برند را نمی‌فهمد و تصمیم خرید به قیمت، تخفیف، رابطه یا فشار فروشنده وابسته می‌شود. نتیجه: اعتراض قیمت بالا، توضیح زیاد فروشنده، تمایز ضعیف، رفتن آسان مشتری به رقیب و کمپین‌های بدون قلاب.
اگر از شما بپرسند چرا باید از شما بخرم، جواب شما چقدر مشخص‌تر از «کیفیت خوب»، «قیمت مناسب» یا «خدمات عالی» است؟,2,UVP / ارزش پیشنهادی,3,جواب ما معمولاً همین جملات کلی است.,جواب کمی مشخص‌تر داریم، اما هنوز خیلی عمومی است.,جواب نسبتاً مشخصی داریم که به نیاز مشتری وصل است.,جواب ما دقیقاً نتیجه، تفاوت و دلیل انتخاب را روشن می‌کند.,ساخت UVP با قالب «ما به [مخاطب] کمک می‌کنیم [نتیجهٔ ملموس] را از طریق [مزیت خاص] به دست بیاورد»؛ اتصال آن به نیاز واقعی پرسونا، مستندسازی و انتشار یکدست در لندینگ، بیو، تبلیغ و مکالمهٔ فروش تا کل تیم یک پیام بدهند.,میزان عینی و مشخص‌بودن پیام ارزش در برابر جملات کلیشه‌ای را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: دلیل انتخاب برند وجود ندارد. ۴–۶ ضعیف: پیام کلی و شبیه رقبا. ۷–۹ متوسط: یکی دو دلیل مشخص ولی ناهماهنگ. ۱۰–۱۲ سالم: UVP روشن و قابل بیان. ۱۳–۱۵ پیشرفته: UVP مستند، متمایز و یکدست در کل قیف و تیم.,۰ بحرانی: همان جملات کلی. ۱ ضعیف: کمی مشخص‌تر ولی عمومی. ۲ متوسط: نسبتاً مشخص و وصل به نیاز. ۳ پیشرفته: نتیجه، تفاوت و دلیل انتخاب کاملاً روشن.,عارضهٔ تمایز و قیمت‌محوری. ضعف یعنی مخاطب تفاوت برند را نمی‌فهمد و تصمیم خرید به قیمت، تخفیف، رابطه یا فشار فروشنده وابسته می‌شود. نتیجه: اعتراض قیمت بالا، توضیح زیاد فروشنده، تمایز ضعیف، رفتن آسان مشتری به رقیب و کمپین‌های بدون قلاب.
قبل از خرید، مشتری می‌فهمد بعد از خرید از شما دقیقاً چه چیزی در وضعیتش بهتر می‌شود؟,2,UVP / ارزش پیشنهادی,4,نه، بیشتر درباره محصول یا خدمت توضیح می‌دهیم نه نتیجه.,تا حدی نتیجه را می‌گوییم، اما واضح و ملموس نیست.,در بیشتر موارد نتیجه خرید را برای مشتری توضیح می‌دهیم.,مشتری دقیقاً می‌فهمد چه نتیجه‌ای می‌گیرد و چرا این نتیجه برایش مهم است.,ساخت UVP با قالب «ما به [مخاطب] کمک می‌کنیم [نتیجهٔ ملموس] را از طریق [مزیت خاص] به دست بیاورد»؛ اتصال آن به نیاز واقعی پرسونا، مستندسازی و انتشار یکدست در لندینگ، بیو، تبلیغ و مکالمهٔ فروش تا کل تیم یک پیام بدهند.,تمرکز پیام بر نتیجه و فایده (به‌جای ویژگی محصول) را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: دلیل انتخاب برند وجود ندارد. ۴–۶ ضعیف: پیام کلی و شبیه رقبا. ۷–۹ متوسط: یکی دو دلیل مشخص ولی ناهماهنگ. ۱۰–۱۲ سالم: UVP روشن و قابل بیان. ۱۳–۱۵ پیشرفته: UVP مستند، متمایز و یکدست در کل قیف و تیم.,۰ بحرانی: تمرکز بر محصول نه نتیجه. ۱ ضعیف: نتیجه مبهم. ۲ متوسط: در بیشتر موارد نتیجه گفته می‌شود. ۳ پیشرفته: نتیجه و اهمیتش برای مشتری کاملاً روشن است.,عارضهٔ تمایز و قیمت‌محوری. ضعف یعنی مخاطب تفاوت برند را نمی‌فهمد و تصمیم خرید به قیمت، تخفیف، رابطه یا فشار فروشنده وابسته می‌شود. نتیجه: اعتراض قیمت بالا، توضیح زیاد فروشنده، تمایز ضعیف، رفتن آسان مشتری به رقیب و کمپین‌های بدون قلاب.
اگر مشتری همین سؤال را از شما، فروشنده، ادمین یا یکی از اعضای تیم بپرسد که «چرا باید از شما بخرم؟»، همه تقریباً یک جواب روشن و مشابه می‌دهند؟,2,UVP / ارزش پیشنهادی,5,نه، هرکس جواب خودش را می‌دهد.,جواب‌ها شبیه‌اند، اما هنوز هماهنگ و مستند نیستند.,بیشتر اعضای تیم پیام اصلی را تقریباً درست منتقل می‌کنند.,پیام ارزش پیشنهادی مستند است و همه تیم آن را یکدست منتقل می‌کنند.,ساخت UVP با قالب «ما به [مخاطب] کمک می‌کنیم [نتیجهٔ ملموس] را از طریق [مزیت خاص] به دست بیاورد»؛ اتصال آن به نیاز واقعی پرسونا، مستندسازی و انتشار یکدست در لندینگ، بیو، تبلیغ و مکالمهٔ فروش تا کل تیم یک پیام بدهند.,یکدستی و مستندبودن پیام ارزش در کل تیم را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: دلیل انتخاب برند وجود ندارد. ۴–۶ ضعیف: پیام کلی و شبیه رقبا. ۷–۹ متوسط: یکی دو دلیل مشخص ولی ناهماهنگ. ۱۰–۱۲ سالم: UVP روشن و قابل بیان. ۱۳–۱۵ پیشرفته: UVP مستند، متمایز و یکدست در کل قیف و تیم.,۰ بحرانی: هرکس جواب خودش را می‌دهد. ۱ ضعیف: شبیه ولی ناهماهنگ. ۲ متوسط: بیشتر تیم پیام را درست منتقل می‌کنند. ۳ پیشرفته: پیام مستند و یکدست در کل تیم.,عارضهٔ تمایز و قیمت‌محوری. ضعف یعنی مخاطب تفاوت برند را نمی‌فهمد و تصمیم خرید به قیمت، تخفیف، رابطه یا فشار فروشنده وابسته می‌شود. نتیجه: اعتراض قیمت بالا، توضیح زیاد فروشنده، تمایز ضعیف، رفتن آسان مشتری به رقیب و کمپین‌های بدون قلاب.
